Date,Advertiser,Device,Clicks,Cost,Impressions,Accounts_Opened,Funded_Units
10/7/2019,Bank of America Merrill Edge,Tablet,205,862.53,6362,1.78,1.35
10/7/2019,Bank of America Merrill Edge,Desktop,2270,14432.86999,72325,49.84,36.9
10/7/2019,Bank of America Merrill Edge,Mobile,1776,14475.02,58067,28.48,20.11
10/8/2019,Bank of America Merrill Edge,Mobile,2193,20254.09,76674,18.69,12.68
10/8/2019,Bank of America Merrill Edge,Desktop,2426,20517.90999,91726,48.95,35.92
10/8/2019,Bank of America Merrill Edge,Tablet,217,1788.129997,8232,5.34,4.05
10/9/2019,Bank of America Merrill Edge,Desktop,2283,17292.53999,83659,40.94,29.94
10/9/2019,Bank of America Merrill Edge,Tablet,217,1630.139999,7717,1.78,1.12
10/9/2019,Bank of America Merrill Edge,Mobile,1993,18698.48999,70138,20.47,14.47
10/10/2019,Bank of America Merrill Edge,Desktop,2273,12874.58999,69846,37.38,27.3
10/10/2019,Bank of America Merrill Edge,Tablet,177,1235.18,7786,8.01,6.07
10/10/2019,Bank of America Merrill Edge,Mobile,1999,15707.71,66500,16.02,10.88
10/11/2019,Bank of America Merrill Edge,Mobile,2048,12932.39999,67468,24.92,17.58
10/11/2019,Bank of America Merrill Edge,Tablet,230,1160.179998,7691,8.9,6.75
10/11/2019,Bank of America Merrill Edge,Desktop,2208,10962.31,58152,30.26,24.6
10/12/2019,Bank of America Merrill Edge,Tablet,117,1171.509999,7714,0,0
10/12/2019,Bank of America Merrill Edge,Mobile,1598,13525.56999,66235,24.92,17.05
10/12/2019,Bank of America Merrill Edge,Desktop,980,7230.919997,40315,24.03,20.22
10/13/2019,Bank of America Merrill Edge,Mobile,1444,14300.09,63453,13.35,8.86
10/13/2019,Bank of America Merrill Edge,Desktop,932,9381.109997,44545,11.57,7.95
10/13/2019,Bank of America Merrill Edge,Tablet,137,1453.889999,7327,0.89,0.67
10/14/2019,Bank of America Merrill Edge,Mobile,2026,19780.66999,79285,26.7,18.26
10/14/2019,Bank of America Merrill Edge,Tablet,210,1764.499996,9119,0,0
10/14/2019,Bank of America Merrill Edge,Desktop,2563,19639.20999,91552,45.39,33.43
10/15/2019,Bank of America Merrill Edge,Desktop,2665,16562.30999,92947,45.39,32.98
10/15/2019,Bank of America Merrill Edge,Tablet,204,1349.799999,7970,2.67,1.79
10/15/2019,Bank of America Merrill Edge,Mobile,2181,18506.89999,78744,17.8,12.81
10/16/2019,Bank of America Merrill Edge,Desktop,2449,14899.12,81576,54.29,39.54
10/16/2019,Bank of America Merrill Edge,Mobile,2087,16706.03999,77741,21.36,14.45
10/16/2019,Bank of America Merrill Edge,Tablet,204,1053.329998,8352,8.01,5.81
10/17/2019,Bank of America Merrill Edge,Desktop,2406,13015.5,76391,42.72,31.44
10/17/2019,Bank of America Merrill Edge,Tablet,184,1035.789999,8537,5.34,3.71
10/17/2019,Bank of America Merrill Edge,Mobile,2086,15505.69999,78507,18.69,13.36
10/18/2019,Bank of America Merrill Edge,Desktop,2028,11839.88,64598,42.72,30.76
10/18/2019,Bank of America Merrill Edge,Tablet,174,876.219999,7609,1.78,1.35
